Epoch,Loss1,Loss2,TotalLoss
181,0.03397435897435897,0.04757948717948718,0.08155384615384614
182,0.03328846153846154,0.0461474358974359,0.07943589743589743
183,0.03286025641025641,0.04696666666666667,0.07982692307692307
184,0.033574358974358974,0.0478474358974359,0.08142179487179488
185,0.033152564102564105,0.04819615384615385,0.08134871794871795
186,0.033293589743589744,0.0465525641025641,0.07984615384615384
187,0.03412564102564102,0.0507,0.08482564102564102
188,0.03381153846153846,0.0478,0.08161153846153846
189,0.03278076923076923,0.04665769230769231,0.07943846153846154
190,0.03358333333333333,0.04796538461538461,0.08154871794871794
191,0.033105128205128204,0.0470948717948718,0.0802
192,0.03366153846153846,0.047876923076923074,0.08153846153846153
193,0.033605128205128204,0.04702179487179487,0.08062692307692307
194,0.03406153846153846,0.049716666666666666,0.08377820512820514
