nohup: ignoring input
/root/LaneNet-Pytorch-teach/LaneNet-PyTorch-master/train.py:35: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  pretrained_weights = torch.load(pretrained_weights_path, map_location=device)
train_set length 12480
valid_set length 2673
test_set length 2673
Loaded pretrained weights.
epoch[86] iter[940] loss: [0.0381, 0.0547]
epoch[86] iter[960] loss: [0.0333, 0.0587]
epoch[86] iter[980] loss: [0.0477, 0.0741]
epoch[86] iter[1000] loss: [0.0390, 0.0608]
epoch[86] iter[1020] loss: [0.0321, 0.0522]
epoch[86] iter[1040] loss: [0.0312, 0.0507]
epoch[86] iter[1060] loss: [0.0339, 0.0491]
epoch[86] iter[1080] loss: [0.0464, 0.0698]
epoch[86] iter[1100] loss: [0.0442, 0.0603]
epoch[86] iter[1120] loss: [0.0312, 0.0479]
epoch[86] iter[1140] loss: [0.0390, 0.0625]
epoch[86] iter[1160] loss: [0.0380, 0.0574]
epoch[86] iter[1180] loss: [0.0296, 0.1006]
epoch[86] iter[1200] loss: [0.0363, 0.0546]
epoch[86] iter[1220] loss: [0.0361, 0.0618]
epoch[86] iter[1240] loss: [0.0352, 0.0531]
epoch[86] iter[1260] loss: [0.0389, 0.0523]
epoch[86] iter[1280] loss: [0.0333, 0.0507]
epoch[86] iter[1300] loss: [0.0436, 0.1277]
epoch[86] iter[1320] loss: [0.0315, 0.0580]
epoch[86] iter[1340] loss: [0.0305, 0.0560]
epoch[86] iter[1360] loss: [0.0366, 0.0520]
epoch[86] iter[1380] loss: [0.0439, 0.0650]
epoch[86] iter[1400] loss: [0.0318, 0.0515]
epoch[86] iter[1420] loss: [0.0292, 0.0521]
epoch[86] iter[1440] loss: [0.0309, 0.0489]
epoch[86] iter[1460] loss: [0.0379, 0.0491]
epoch[86] iter[1480] loss: [0.0309, 0.0454]
epoch[86] iter[1500] loss: [0.0407, 0.0565]
epoch[86] iter[1520] loss: [0.0340, 0.0468]
epoch[86] iter[1540] loss: [0.0386, 0.0466]
Finish epoch[86], time elapsed[180.32s]
epoch[87] iter[0] loss: [0.0429, 0.1063]
epoch[87] iter[20] loss: [0.0375, 0.0547]
epoch[87] iter[40] loss: [0.0417, 0.0620]
epoch[87] iter[60] loss: [0.0353, 0.0571]
epoch[87] iter[80] loss: [0.0295, 0.0543]
epoch[87] iter[100] loss: [0.0334, 0.0748]
epoch[87] iter[120] loss: [0.0335, 0.0537]
epoch[87] iter[140] loss: [0.0313, 0.0586]
epoch[87] iter[160] loss: [0.0342, 0.0488]
epoch[87] iter[180] loss: [0.0363, 0.0472]
epoch[87] iter[200] loss: [0.0405, 0.0717]
epoch[87] iter[220] loss: [0.0350, 0.0543]
epoch[87] iter[240] loss: [0.0366, 0.0531]
epoch[87] iter[260] loss: [0.0390, 0.0531]
epoch[87] iter[280] loss: [0.0367, 0.0544]
epoch[87] iter[300] loss: [0.0268, 0.0493]
epoch[87] iter[320] loss: [0.0359, 0.0508]
epoch[87] iter[340] loss: [0.0423, 0.0584]
epoch[87] iter[360] loss: [0.0347, 0.0570]
epoch[87] iter[380] loss: [0.0384, 0.0602]
epoch[87] iter[400] loss: [0.0342, 0.0538]
epoch[87] iter[420] loss: [0.0352, 0.0533]
epoch[87] iter[440] loss: [0.0329, 0.0554]
epoch[87] iter[460] loss: [0.0333, 0.0595]
epoch[87] iter[480] loss: [0.0343, 0.0480]
epoch[87] iter[500] loss: [0.0413, 0.0697]
epoch[87] iter[520] loss: [0.0346, 0.0515]
epoch[87] iter[540] loss: [0.0345, 0.0617]
epoch[87] iter[560] loss: [0.0280, 0.0397]
epoch[87] iter[580] loss: [0.0322, 0.0505]
epoch[87] iter[600] loss: [0.0370, 0.0479]
epoch[87] iter[620] loss: [0.0377, 0.0505]
epoch[87] iter[640] loss: [0.0384, 0.0586]
epoch[87] iter[660] loss: [0.0377, 0.0516]
epoch[87] iter[680] loss: [0.0376, 0.0499]
epoch[87] iter[700] loss: [0.0335, 0.0605]
epoch[87] iter[720] loss: [0.0405, 0.0728]
epoch[87] iter[740] loss: [0.0351, 0.0556]
epoch[87] iter[760] loss: [0.0329, 0.0501]
epoch[87] iter[780] loss: [0.0308, 0.0461]
epoch[87] iter[800] loss: [0.0354, 0.0489]
epoch[87] iter[820] loss: [0.0424, 0.0619]
epoch[87] iter[840] loss: [0.0407, 0.0538]
epoch[87] iter[860] loss: [0.0344, 0.0564]
epoch[87] iter[880] loss: [0.0280, 0.0510]
epoch[87] iter[900] loss: [0.0306, 0.0496]
epoch[87] iter[920] loss: [0.0371, 0.0623]
epoch[87] iter[940] loss: [0.0362, 0.0536]
epoch[87] iter[960] loss: [0.0369, 0.0519]
epoch[87] iter[980] loss: [0.0345, 0.0586]
epoch[87] iter[1000] loss: [0.0418, 0.0641]
epoch[87] iter[1020] loss: [0.0350, 0.0567]
epoch[87] iter[1040] loss: [0.0360, 0.0529]
epoch[87] iter[1060] loss: [0.0384, 0.0502]
epoch[87] iter[1080] loss: [0.0348, 0.0456]
epoch[87] iter[1100] loss: [0.0420, 0.0788]
epoch[87] iter[1120] loss: [0.0339, 0.0483]
epoch[87] iter[1140] loss: [0.0333, 0.0577]
epoch[87] iter[1160] loss: [0.0379, 0.0560]
epoch[87] iter[1180] loss: [0.0340, 0.0457]
epoch[87] iter[1200] loss: [0.0451, 0.0781]
epoch[87] iter[1220] loss: [0.0315, 0.0547]
epoch[87] iter[1240] loss: [0.0368, 0.0566]
epoch[87] iter[1260] loss: [0.0305, 0.0519]
epoch[87] iter[1280] loss: [0.0362, 0.0705]
epoch[87] iter[1300] loss: [0.0359, 0.0675]
epoch[87] iter[1320] loss: [0.0427, 0.0843]
epoch[87] iter[1340] loss: [0.0376, 0.0784]
epoch[87] iter[1360] loss: [0.0300, 0.0498]
epoch[87] iter[1380] loss: [0.0364, 0.0547]
epoch[87] iter[1400] loss: [0.0354, 0.0531]
epoch[87] iter[1420] loss: [0.0317, 0.0501]
epoch[87] iter[1440] loss: [0.0341, 0.0597]
epoch[87] iter[1460] loss: [0.0333, 0.0578]
epoch[87] iter[1480] loss: [0.0377, 0.0652]
epoch[87] iter[1500] loss: [0.0361, 0.0529]
epoch[87] iter[1520] loss: [0.0438, 0.0566]
epoch[87] iter[1540] loss: [0.0337, 0.0530]
Finish epoch[87], time elapsed[182.11s]
epoch[88] iter[0] loss: [0.0360, 0.0551]
epoch[88] iter[20] loss: [0.0342, 0.0738]
epoch[88] iter[40] loss: [0.0347, 0.0502]
epoch[88] iter[60] loss: [0.0364, 0.0527]
epoch[88] iter[80] loss: [0.0340, 0.0518]
